,issueNumber,title,description,FIGDiagnostic,labels,dateMade
10,10,Fig Sidebar shows on Secondary Display When you have multiple displays,"Describe the bug
In Extended Display mode if the Terminal is open on Primary Screen and the Secondary screen is placed on the right of the primary screen Fig sidebar shows on Secondary Display.
To Reproduce
Steps to reproduce the behaviour:
Connect at least two monitors/screens
Make sure fig is running if not start it.
Open Terminal on any Screen.
Move the terminal to the left screen of another screen
eg.
Expected behaviour
Fig bar should stick to the Terminal Screen
Screenshots
Desktop (please complete the following information):
OS: macOS 10.15.17
Terminal: mac default Shell, iTerm2
Fig Version 1.0.20
Additional context
current workaround: use terminal on-screen which doesn't have any screen right to it.",No Fig Diagnostic Found,"['codebase:macos', 'type:bug']","Oct 6, 2020, 8:19 PM PDT"
11,11,Bug Fig 1.20: fig.run() not working.,"When making an application for fig, the fig.run() command gives the command line to the shell and then pieces of it afterwards in an unpredictable order/way. You can see the trail of partial commands in the attached picture:",No Fig Diagnostic Found,['None yet'],"Oct 6, 2020, 4:15 AM PDT"
12,12,Autocomplete not working for the following ZSH Themes,"Fig is not currently compatible with the following ZSH themes:
None that we know of
Themes Fig was previously incompatible with:
https://github.com/romkatv/powerlevel10k (fixed in version v1.0.31)
→ was not working as powerlevel10k spawns many background zsh processes. This was affecting our ability to get the cwd for the shell you're currently in
This issue will remain open and will be updated over time",No Fig Diagnostic Found,['None yet'],"Nov 7, 2020, 6:25 PM PST"
13,13,Cmd + Tab Overridden by Fig,"Fig overrides the tab, enter, esc, and up/down arrow keys when the autocomplete box is open.
macOS, Terminal, and iTerm shortcuts using these keys may not work when the autocomplete is open. To re-enable them, you have to escape the autocomplete box.
Known shortcuts that currently aren't working:
cmd+tab",No Fig Diagnostic Found,['None yet'],"Oct 7, 2020, 12:11 PM PDT"
14,14,The cd command autocompletes local directories even on a remote ssh connection,"When I ssh into another machine and use the cd command, it autocompletes directories from my local machine, not the remote",No Fig Diagnostic Found,['None yet'],"Oct 5, 2020, 5:06 PM PDT"
15,15,No Title Found,No Details Found,No Fig Diagnostic Found,['Error Getting Details'],Publish Date Not Found
16,16,Autocomplete of like named directories is unintuitive,"Summary:
Autocomplete list orders like named folders in an unintuitive way for me. For instance, if you have a directory foo/ and a directory foo-bar/ the autocomplete menu will order foo-bar/ first, but with standard linux autocomplete tabbing I'd expect foo/ to come first. The rule should show the shortest match first.",No Fig Diagnostic Found,"['codebase:autocomplete-app', 'type:bug']","Jan 21, 2021, 10:25 AM PST"
17,17,[FEATURE] navigate through autocomplete using ctrl+n / ctrl+p,"It's can be awkward to switch to the arrow keys to use autocomplete.
It would be great if one could navigate through the autocomplete options using ctrl+n / ctrl+p
Initially considered vim-style navigation but there will be UX problems if letter keys without modifiers are used to navigate the menu.",No Fig Diagnostic Found,[],"Jan 21, 2021, 10:28 AM PST"
18,18,Fig shows up on the wrong screen,"Summary:
Fig shows up on the main screen when there's a split-paned fullscreen iTerm2 on a secondary screen.
Split-pane was achieved with ""Split Pane Vertically"" and ""Split Pane Horizontally"" in the right-click menu of iTerm2. And the layout is like this:
+--------+--------+
|        |        |
|        +--------|
|--------+        |
|        +--------|
|--------+        |
|        +--------|
|        |        |
+--------+--------+
Steps to Reproduce:
Open iTerm2, make it fullscreen and create split panes.
Type a command, Fig shows up on the wrong screen.
Expected Results:
Fig shows up right where the command is typed in.
Actual Results:
Fig shows up on the edge of my main screen.
System information:
OS: macOS Catalina 10.15.7
Terminal: iTerm2
Version of Fig: 1.0.32 (B80)
There's a similar problem reported in #10 (comment).",No Fig Diagnostic Found,['type:bug'],"Jan 24, 2021, 5:17 PM PST"
19,19,[BUG] Autocomplete suggestion box appears underneath floating iTerm window,"Summary:
Autocomplete suggestion box appears underneath floating iTerm window
Steps to Reproduce:
Create an iTerm hotkey window profile
In iTerm preferences, under Profile > Keys > Configure Hotkey Window, enable the Floating window setting
Trigger the hotkey window, then start typing a command that triggers the Fig autocomplete suggestion box.
Expected Results:
Autocomplete suggestion box appears on top of iTerm window.
Actual Results:
Autocomplete suggestion box appears under iTerm window (although it remains interactive).
Autocomplete suggestion box also does not dismiss when dismissing hotkey window.
System information:
OS: MacOS Big Sur 11.1
Terminal: iTerm2 (3.4.3)
Version of Fig: 1.0.32 (B80)
Additional Notes:",No Fig Diagnostic Found,['type:bug'],"Jan 25, 2021, 9:10 AM PST"
20,20,No Title Found,"Fig is not currently compatible with the following ZSH themes:
af-magic
Themes Fig was previously incompatible with:
https://github.com/romkatv/powerlevel10k (fixed in version v1.0.31)
→ was not working as powerlevel10k spawns many background zsh processes. This was affecting our ability to get the cwd for the shell you're currently in
This issue will remain open and will be updated over time",No Fig Diagnostic Found,['Error Getting Details'],Publish Date Not Found
21,21,No Title Found,"If I press cmd+backspace to delete the line before the cursor, it looks like the Fig context gets out of sync.
To repro, I can type cd then cmd+delete followed by cd and the second time the fig completion menu doesn't show up. The keybuffer context is cd cd instead of the expected cd",No Fig Diagnostic Found,['Error Getting Details'],Publish Date Not Found
22,22,Show Fig status in menu bar,"It's sometimes hard to tell when Fig has stopped working, and what I need to do to fix it. It's be nice if the menu bar icon could be badged a color depending on the status. It'd also be nice if there was a setting to turn the badging and coloring on and off.",No Fig Diagnostic Found,['type:integration-request'],"Jan 28, 2021, 10:49 AM PST"
23,23,[BUG] Autocomplete does not work with certain external keyboards,"When Fig's autocomplete widget pops up, users are able to select suggestions using tab, enter, or clicking.
It seems like Fig does not pick up the tab or enter events from certain external keyboards. If a user with one of these keyboards tries tab or enter it will just close the popup but will not insert the selected text.
We are investigating the fix.
In the meantime, here are some of the keyboards we have heard don't work:
Das Model S
Keychron K2 (unsure of specific models)
Please share more keyboards and their versions below. Also subscribe to this issue so you can get notified when they have been fixed 😄",No Fig Diagnostic Found,['type:bug'],"Jan 28, 2021, 11:17 AM PST"
24,24,[INTEGRATION] Integrate Autocomplete with VSCode,"The title says it all.
Please subscribe to this issue to get an update when Fig's autocomplete integration with VSCode is ready 😄",No Fig Diagnostic Found,['None yet'],"Jan 28, 2021, 12:29 PM PST"
25,25,Integrate Autocomplete with IntelliJ,"The title says it all.
Please subscribe to this issue to get an update when the autocomplete integration with IntelliJ is ready 😄",No Fig Diagnostic Found,['type:integration-request'],"Jan 28, 2021, 12:30 PM PST"
26,26,Integrate Autocomplete with Kitty Terminal,"The title says it all.
Please subscribe to this issue to get an update when the autocomplete integration with Kitty Terminal is ready 😄",No Fig Diagnostic Found,['type:integration-request'],"Jan 28, 2021, 12:31 PM PST"
27,27,[INTEGRATION] Integrate Autocomplete with Hyper Terminal,"The title says it all.
Please subscribe to this issue to get an update when Fig's autocomplete integration with the Hyper Terminal is ready 😄",No Fig Diagnostic Found,['None yet'],"Jan 28, 2021, 12:32 PM PST"
28,28,Integrate Autocomplete with Alacritty Terminal,"The title says it all.
Please subscribe to this issue to get an update when Fig's autocomplete integration with the Alacritty terminal is ready 😄",No Fig Diagnostic Found,['type:integration-request'],"Jan 28, 2021, 12:33 PM PST"
29,29,Integrate Fig with Docker Containers,"Currently, Fig works in SSH sessions. We also want to make Fig work in Docker containers hosted on your local device.
Please subscribe to this issue to get an update when Fig's autocomplete integration with the Docker is ready 😄",No Fig Diagnostic Found,['type:integration-request'],"Jan 28, 2021, 12:44 PM PST"
30,30,Integrate Fig with Mosh,"Currently, Fig works in SSH sessions. We also want to make Fig work in Mosh.
Please subscribe to this issue to get an update when Fig's autocomplete integration with Mosh is ready 😄",No Fig Diagnostic Found,['type:integration-request'],"Jan 28, 2021, 12:44 PM PST"
31,31,[BUG],"Summary:
fig 1.0.33 (B92) on Catalina: sidebar shows up when fig starts but disappears after running anything now or changing focus to another application. I can run apps from the command line only.
Steps to Reproduce:
Start fig normally
Run a fig command and exit, or switch window focus and go back to the terminal
Expected Results:
fig sidebar should reappear.
Actual Results:
The sidebar disappears and never comes back until I restart fig. I can run commands on the command line like fig dir. But the normal sidebar never appears again.
System information:
OS: MacOS Catalina 10.15.7 (19H114)
Terminal: iterm2 3.4.3
Version of Fig: 1.0.33 (B92)
Additional Notes:
The fig version before this one only had issues when my program set the display to 7, which should of gone back to the sidebar. Now, it's having the issue on everything. Also, the docs no longer tell how an application should revert control back to the sidebar.",No Fig Diagnostic Found,['type:bug'],"Jan 28, 2021, 6:54 PM PST"
32,32,[BUG] Fig uninstallation leaves trace: zsh:1: command not found: fig,"Summary:
After I uninstalled Fig.app, zsh:1: command not found: fig is prompted every time I launch git push
Steps to Reproduce:
Install Fig.app
Uninstall Fig.app
Commit something
Push the code
Expected Results:
No error or warning from fig is thrown
Actual Results:
$ git push
zsh:1: command not found: fig
Enumerating objects: 5, done.
Counting objects: 100% (5/5), done.
Delta compression using up to 4 threads
Compressing objects: 100% (3/3), done.
Writing objects: 100% (3/3), 349 bytes | 349.00 KiB/s, done.
Total 3 (delta 2), reused 0 (delta 0), pack-reused 0
remote:
remote: View merge request for XXXXXXX:
remote:   XXXXXXXXX
remote:
To XXXXXXXXXXX
   c3133a2..8d4ee7f  XXXXXXXXXXX -> XXXXXXXXXXX
System information:
OS: MacOS Catalina 11.15.7
Terminal: iTerm2 3.4.3
Version of Fig: 2.0
Additional information
I cleaned my $PATH and .zshrc from anything related to fig.",No Fig Diagnostic Found,['type:bug'],"Feb 3, 2021, 2:35 AM PST"
33,33,[BUG] iTerm warning dialog shown when using built-in password manager,"Summary:
While Fig is running, iTerm2 complains when an entry from its built in password manager is to be filled in.
Steps to Reproduce:
Have an entry in iTerms password manager (Shortcut cmd + shift + f)
Type in sudo su - to bring up secure input
Try to fill in password from iTerms password manager (Shortcut cmd + shift + f)
Expected Results:
Password is filled in automatically when it is chosen in password manager window.
Actual Results:
Warning dialog is shown by iTerm. Are you really at a password prompt? It looks like what you're typing is echoed to the screen.
System information:
OS: MacOS 11.2.1 (20D74)
iTerm: Build 3.4.4
Version of Fig: 1.0.34 (B100)",No Fig Diagnostic Found,['type:bug'],"Feb 14, 2021, 12:46 AM PST"
34,34,Integrate Fig with Linux,"Fig currently works on macOS only. We will build a port that integrates with Linux soon.
Please subscribe to this issue to get an update when Fig's autocomplete integration with the Linux is ready 😄",No Fig Diagnostic Found,['type:integration-request'],"Feb 18, 2021, 8:13 PM PST"
35,35,Integrate Fig with Windows,"Fig currently works on macOS only. We will build a port that integrates with Windows soon.
Please subscribe to this issue to get an update when Fig's autocomplete integration with the Window is ready 😄",No Fig Diagnostic Found,['type:integration-request'],"Feb 18, 2021, 8:14 PM PST"
36,36,fixed broken docs link,"@gautamkrishnar - you're awesome, thanks so much for spotting this!
Would you be able to do us a huge favour and literally submit the exact same PR to our withfig/config repo? We are migrating all of our code out of withfig/fig (but due to some legacy versions of the app, need to keep it here for another week or so)
If too much effort, we can make this change ourselves, but would love to give you the OS contribution credit :)",No Fig Diagnostic Found,['Error Getting Details'],Publish Date Not Found
37,37,[INTEGRATION] Integrate Fig with Tmux,"The title says it all.
Please subscribe to this issue to get an update when Fig's autocomplete integration with the Tmux is ready 😄",No Fig Diagnostic Found,['None yet'],"Feb 24, 2021, 9:32 AM PST"
38,38,"[BUG] Fig crashes PyCharm's terminal, if used with ZSH + zsh-syntax-highlighting plugin","Summary:
PyCharm's (And most likely all other Intellij app) terminal windows crash, if Fig is used with ZSH + zsh-syntax-highlighting plugin. This happens even if Fig is disabled.
Commenting following line in ~/.zshrc, fixes the problem
#### FIG ENV VARIABLES ####
[ -s ~/.fig/fig.sh ] && source ~/.fig/fig.sh
#### END FIG ENV VARIABLES ####
Steps to Reproduce:
Install fig
Use oh-my-zsh
Use zsh-syntax-highlighting plugin
Open PyCharm
Open Terminal (ALT + F12)
Type something in terminal prompt
Expected Results:
Terminal window works as expected and the input is displayed.
Actual Results:
Terminal window will close (zsh crashes)
System information:
OS: MacOS Big Sur 11.2.2
Version of PyCharm 2020.3.3 (Professional Edition), Build #PY-203.7148.72, built on January 27, 2021
Version of Fig: 1.36 (B139)
Git commit of Oh-my-zsh 9a9f3831925432fdf4352c24a002506a06d329c1
Git commit of zsh-syntax-highlighting 205bc7ea199cfd4cded51d465baad63b3d7f3aad
Additional Notes:
Fig app can be shut down or running, this makes no difference.
I hope someone with similar setup will be able to reproduce the issue.",No Fig Diagnostic Found,['type:bug'],"Mar 4, 2021, 12:32 AM PST"
39,39,Autocomplete over all the aliases and CLI tools,"Right now, autocomplete only works from the second command. It would be nice to get autocomplete right from first command.
Usecase:
If I have following aliases:
g=git
ga='git add'
gaa='git add --all'
gap='git apply'
gapa='git add --patch'
gau='git add --update'
gav='git add --verbose'
gb='git branch'
When I type g, I should be able to get autocomplete for all these aliases.
It would be even better if we are also able to see the related expansion of the aliases in the autocomplete itself. Something like g(git), ga(git add), ....",No Fig Diagnostic Found,['enhancement'],"Mar 11, 2021, 8:17 PM PST"
40,40,Deploy Fig as a universal app so it can run natively on new M1 (arm64) macs,"Is your feature request related to a problem? Please describe.
A clear and concise description of what the problem is. (e.g. I'm always frustrated when [...])
On M1 (arm64) macs, Fig runs under Rosetta. It works fine, but maybe performance is affected.
Describe the solution you'd like
A clear and concise description of what you want to happen.
Compile Fig as a universal app to run natively also for new M1 macs.
Describe alternatives you've considered
A clear and concise description of any alternative solutions or features you've considered.
Additional context
Add any other context or screenshots about the feature request here.",No Fig Diagnostic Found,"['codebase:macos', 'type:feature-request']","Mar 19, 2021, 9:18 AM PDT"
41,41,Make it easier to select a directory when using fish,"Is your feature request related to a problem? Please describe.
Fish allows you to change directories by “executing” a directory (i.e. you can run src/ to do the same thing as cd src/). However, the path autocomplete provided by Fig does not allow for this possibility (you have to hit esc to close the panel before hitting enter to cd.
Describe the solution you'd like
Add a “run” shortcut like the one produced by cd’s autocompletion.
Describe alternatives you've considered
Not sure there is one
Additional context
Screen.Recording.2021-03-22.at.17.25.12.mov",No Fig Diagnostic Found,['None yet'],"Mar 22, 2021, 2:26 PM PDT"
42,42,Improve fish completion support,"Is your feature request related to a problem? Please describe.
As mentioned in Slack, Fig is currently unable to provide full support for Fish because it does not have a way of reading the current command. There actually is a way to do this!
Describe the solution you'd like
Ask the user to add a function to config.fish like this:
function read_commandline --on-signal SIGUSR1
    fig commandline:read $fish_pid (commandline) (commandline -C) 
end
function write_commandline --on-signal SIGUSR2
    commandline (fig commandline:write $fish_pid)
    commandline -C (fig commandline:write-cursor $fish_pid)
end
when you detect keyboard input, run kill -USR1 [shell pid] from Fig
when the user accepts a suggestion, run kill -USR2 [shell pid] from Fig and provide the new command input and cursor position when requested
(it might be better to use other available signals).",No Fig Diagnostic Found,['codebase:macos'],"Mar 22, 2021, 3:32 PM PDT"
43,43,"Fix potential typo in ""Whoops"" message on the fig command onbarding step","Hey @banderson - so sorry for the delay getting back to this. This is fantastic, however, we are no longer using this repo for our shell integration and onboarding code (hence why we missed this). That is all in withfig/config
Would you be open to making the same contribution there?
Apologies for hassle and thanks so much :)",No Fig Diagnostic Found,['Error Getting Details'],Publish Date Not Found
44,44,iTerm Integration can't be unchecked,"Summary:
Once activated, it's impossible to uncheck iTerm Integration. It always prompt you to install the Python runtime.
Steps to Reproduce:
Activate iTerm Integration in Fig -> Settings menu
After installing the Python runtime, select again iTerm Integration.
Expected Results:
Selecting Fig -> Settings -> iTerm Integration should toggle the checkmark on and off
Actual Results:
iTerm Integration can't be deactivated.
System information:
OS: MacOS Big Sur 11.2.3
Terminal: MacOS Terminal and iTerm2
Version of Fig: 1.0.39
Additional Notes:",No Fig Diagnostic Found,"['codebase:macos', 'terminal:iTerm', 'type:bug']","Apr 2, 2021, 7:59 PM PDT"
45,45,[BUG] Pressing tab replaces existing command with last word,"Summary:
When Fig shows multiple options as I type a prefix, if I press Tab, the last prefix replaces the entire command. Pressing Enter replaces the entire command with the first option instead.
Steps to Reproduce:
This doesn't seem to happen everywhere, but here are few reproducible steps for me:
Tab:
Type cd /Us (note uppercase U), Fig shows autocomplete menu with options: Users and usr.
Press Tab.
Enter:
This time, type cd /us (lowercase u), Fig shows autocomplete menu with the same two options.
Press Enter.
Expected Results:
I'm not sure what Fig's default behavior is, but it should either do nothing (which is what happens if I typed a lowercase U in step 1), or it should select the first highlighted option and continue.
Actual Results:
Tab:
Fig replaces the entire line with just us, and the keybuffer has cd /us.
Autocomplete is still open with the same options btw.
Enter:
Fig replaces the entire line with just Users/, and the keybuffer has cd /Users/.
System information:
OS: MacOS Big Sur 11.0.1
Terminal: (MacOS Terminal, iTerm2, etc)
Version of Fig: 1.0.39",No Fig Diagnostic Found,['type:bug'],"Apr 7, 2021, 9:07 PM PDT"
46,46,Bash - Enter causes last word to be deleted before insert,"Summary:
Hitting enter after using Fig to autocomplete a command causes last word to be deleted before insert on Bash.
Steps to Reproduce:
Type cd /e and let Fig autocomplete etc using Tab, showing the first option as the little enter sign.
Hit Enter to go to that path.
Expected Results:
Navigation to /etc.
Actual Results:
Navigation to /.
It seems the last word is deleted. So for example if you pick cd /tmp/dir-name/ and hit Enter, what's executed is cd /tmp/dir-.
System information:
OS: MacOS Big Sur 11.0.1
Terminal: (MacOS Terminal, iTerm2, etc)
Version of Fig: 1.0.39.",No Fig Diagnostic Found,"['shell:bash', 'type:bug']","Apr 8, 2021, 12:25 AM PDT"
47,47,Show/Hide Fig in the Menu Bar,"As a user I would like to keep my menu bar clean and not have the icon displayed. The Fig icon in the menu bar only disappears when the user quits Fig, and it doesn't trigger an automatic reopen upon opening the command line app. I also think the interactions in the Fig menu could easily be moved elsewhere.",No Fig Diagnostic Found,['None yet'],"Apr 8, 2021, 12:43 PM PDT"
48,48,Render autocomplete suggestions whilst generator is running,"Is your feature request related to a problem? Please describe.
A clear and concise description of what the problem is. (e.g. I'm always frustrated when [...])
When a generator is running a long-running command to generate suggestions fig displays noting even if a static array of suggestions is provided
Describe the solution you'd like
A clear and concise description of what you want to happen.
When both a generator and suggestions are provided by an autocomplete spec, render the suggestions first & then the result of any generators",No Fig Diagnostic Found,"['codebase:autocomplete-app', 'type:feature-request']","Apr 12, 2021, 11:51 PM PDT"
49,49,Integration with Jetbrains IDEs,"Enable Fig autocomplete in JetBrains IDEs' integrated terminal
JetBrains IDEs
PhpStorm
WebStorm
CLion
pyCharm
PyCharm CE
IntelliJ IDEA
RubyMine
GoLand
AppCode
Rider IDE
Android Studio
Are we missing one that you use? Comment below!
Original Issue
Is your feature request related to a problem? Please describe.
It's just going to make it a really solid solution to make fig integrates with PhpStorm internal terminal window
Describe the solution you'd like
PhpStorm is currently the top pick for PHP developers which offers many features (AIO) which for the most part allows you to do all within the IDE without the need to use external programs (ex: Git, Terminal, etc)
So if Fig is able work well with the IDE's internal terminal window. it will make a big difference.
Describe alternatives you've considered
The current alternative is to keep 2 windows open, one for the IDE and other for the terminal (iTerm2)
Additional context
I am not sure if this is the place for it, but the support for the IDE + composer + npm is a killer combo
Thanks for the amazing work",No Fig Diagnostic Found,['type:integration-request'],"Apr 13, 2021, 12:31 AM PDT"
50,50,Fig spamming nc commands while typing,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Every keystroke spawn a nc command, see the attached video. Latest iTerm2 and Fig.
Enregistrement.de.l.ecran.2021-04-15.a.12.06.37.mov
Details:
macOS Fig Shell
10.16.0 Version 1.0.40 (B188) /usr/local/bin/fish
fig diagnostic",No Fig Diagnostic Found,['type:bug'],"Apr 15, 2021, 3:11 AM PDT"
51,51,Fig screen is shown somewhere else on VS Code terminal,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
This used to work before nicely. After the latest update, this got messed up. Added a screenshot as well.
Details:
macOS Fig Shell
10.16.0 Version 1.0.40 (B188) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,"['codebase:macos', 'terminal:VSCode', 'type:bug']","Apr 15, 2021, 4:10 AM PDT"
52,52,Autocomplete is inserting an unknown character ◧,"Description:
Autocomplete is inserting a weird character on enter keypress. The character looks like the fig logo.

Details:
macOS Fig Shell
10.16.0 Version 1.0.40 (B188) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['type:bug'],"Apr 19, 2021, 9:48 AM PDT"
53,53,Add atom support,It would be awesome if fig would add terminal-tab (atom extension) integration,No Fig Diagnostic Found,['type:integration-request'],"Apr 20, 2021, 1:31 PM PDT"
54,54,Tutorial --> no autocomplete,"Description:
> Please include a detailed description of the issue (and an image or screen recording, if applicable)
Followed installer
Got exited
Typed cd ...
waaa no autocomplete?
I see the ""iterm integration"" (as seen below) isn't installed. But I thought the tutorial was supposed to start after the iTerm integration? Needs to be looked into.
Details:
macOS Fig Shell
11.2.3 Version 1.0.40 (B188) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['type:bug'],"Apr 20, 2021, 2:56 PM PDT"
55,55,[GIT]: Git completion is missing --force-with-lease option.,See summary.,No Fig Diagnostic Found,"['good first issue', 'WIP']","Apr 20, 2021, 11:30 PM PDT"
56,56,Suggestion window height is constant for git and ssh,"Description:
I set the height to 1000 and the window size is now constant rather than form-fitting for git and ssh. It does form-fit for fig.
Details:
macOS Fig Shell
10.16.0 Version 1.0.40 (B188) /bin/zsh
fig diagnostic",,['None yet'],"Apr 21, 2021, 8:37 AM PDT"
57,57,Fig suggestion screen jumps to other screen when having multiple screens on MacOS,"Description:
When having two screens ( one over the other ) and we open VS on the screen that is on the top, being the terminal in the bottom part of the screen, when typing something on the terminal, the fig recommendations pop-up will appear in the bottom screen instead of the top screen, where the terminal is.
This is happening in a MacBook Pro.
Details:
macOS Fig Shell
10.16.0 Version 1.0.40 (B188) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['type:bug'],"Apr 22, 2021, 6:15 AM PDT"
58,58,Add WezTerm support,"Is your feature request related to a problem? Please describe.
Not a problem, just new integration with a new terminal program: WezTerm https://wezfurlong.org/wezterm/
Describe the solution you'd like
Currently, fig says that it doesn't support WezTerm.",No Fig Diagnostic Found,['type:integration-request'],"Apr 22, 2021, 8:25 PM PDT"
59,59,Fig has buggy behavior with cd command when ssh'd into remote machines,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Having trouble with Fig on cd command in sessions when I'm ssh'd into a remote machine. Other commands work fine, such as git and ls.
I have gotten Fig to work with cd on my remote machine, but it is intermittent when it will work for me. I normally one of the following states:
Fig box will say that it doesn't have context and I need to run fig source
In this case, I will exit the remote box, run fig source locally, then ssh back into the remote.
Fig box simply doesn't show up on remote machine
Fig box shows my local file structure
Fig box works as it should, showing remote file structure
In this case, it will only work on this single iTerm tab/window. If I open another tab/window and log into my remote box, it generally will not show a Fig box at all with cd.
I have had instances where git would not pull up a Fig window either, but that's generally solved by running fig source on my local then going back.
I've been talking with falky97 about this issue and he mentioned it could be an issue with my custom prompt, which uses https://github.com/romkatv/powerlevel10k.
I'm running Zsh with Oh-my-zsh locally and Zsh with Prezto on the remote machine, both using Powerlevel10K for the prompt. I'm going to try switching prompts and see if that effects anything and will remote back.
Screen.Recording.2021-04-23.at.9.47.19.AM.mov
Details:
macOS Fig Shell
10.15.7 Version 1.0.40 (B188) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,"['integration:ssh', 'type:bug']","Apr 23, 2021, 9:55 AM PDT"
60,60,Aliases and shortcuts for often used commands,"Great tool and it has already improved my workflow!
Is your feature request related to a problem? Please describe.
One feature I’m missing would be to help me suggest more complete commands then just the next part. If I start writing “git”, very often I write ""git commit -m"" and not just show ""commit"".
Describe the solution you'd like
If I have added a alias it could be displayed as a separate list or in the same box (like top suggestion).
In my case it’s mostly usable for really long and more complex commands I run and want to be able to quickly run. Saving them in another document etc is where Fig is such a good idea. Because I want them visible in a list exactly where I’m working, in the Terminal.",No Fig Diagnostic Found,"['codebase:autocomplete-app', 'type:feature-request']","Apr 26, 2021, 6:41 AM PDT"
